INDEP,SHIFT,DEP,STOR
16N,16N,16N,1S
4.94,0.00,1322.98,
4.95,0.00,1331.41,
4.96,0.00,1339.86,
4.97,0.00,1348.35,
4.98,0.00,1356.87,
4.99,0.00,1365.41,
5.00,0.00,1374.00,
5.01,0.00,1382.61,
5.02,0.00,1391.25,
5.03,0.00,1399.92,
5.04,0.00,1408.63,
5.05,0.00,1417.36,
5.06,0.00,1426.13,
5.07,0.00,1434.93,
5.08,0.00,1443.76,
5.09,0.00,1452.62,
5.10,0.00,1461.52,
5.11,0.00,1470.44,
5.12,0.00,1479.40,
5.13,0.00,1488.38,
5.14,0.00,1497.40,
5.15,0.00,1506.45,
5.16,0.00,1515.54,
5.17,0.00,1524.65,
5.18,0.00,1533.80,
5.19,0.00,1542.97,
5.20,0.00,1552.18,
5.21,0.00,1561.42,
5.22,0.00,1570.69,
5.23,0.00,1580.00,
5.24,0.00,1589.34,
5.25,0.00,1598.70,
5.26,0.00,1608.10,
5.27,0.00,1617.54,
5.28,0.00,1627.00,*
5.29,0.00,1636.50,
5.30,0.00,1646.02,
5.31,0.00,1655.58,
5.32,0.00,1665.18,
5.33,0.00,1674.80,
5.34,0.00,1684.46,
5.35,0.00,1694.15,
5.36,0.00,1703.87,
5.37,0.00,1713.62,
5.38,0.00,1723.40,
5.39,0.00,1733.22,
5.40,0.00,1743.07,
5.41,0.00,1752.95,
5.42,0.00,1762.87,
5.43,0.00,1772.82,
5.44,0.00,1782.80,
5.45,0.00,1792.81,
5.46,0.00,1802.85,
5.47,0.00,1812.93,
5.48,0.00,1823.04,
5.49,0.00,1833.18,
5.50,0.00,1843.36,
5.51,0.00,1853.56,
5.52,0.00,1863.80,
5.53,0.00,1874.08,
5.54,0.00,1884.38,
5.55,0.00,1894.72,
5.56,0.00,1905.09,
5.57,0.00,1915.50,
5.58,0.00,1925.93,
5.59,0.00,1936.40,
5.60,0.00,1946.90,
5.61,0.00,1957.44,
5.62,0.00,1968.01,
5.63,0.00,1978.61,
5.64,0.00,1989.24,
5.65,0.00,1999.91,
5.66,0.00,2010.61,
5.67,0.00,2021.34,
5.68,0.00,2032.11,
5.69,0.00,2042.91,
5.70,0.00,2053.74,
5.71,0.00,2064.61,
5.72,0.00,2075.51,
5.73,0.00,2086.44,
5.74,0.00,2097.41,
5.75,0.00,2108.41,
5.76,0.00,2119.44,
5.77,0.00,2130.51,
5.78,0.00,2141.61,
5.79,0.00,2152.74,
5.80,0.00,2163.91,
5.81,0.00,2175.11,
5.82,0.00,2186.34,
5.83,0.00,2197.61,
5.84,0.00,2208.91,
5.85,0.00,2220.24,*
